,Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Selling,Research & Development,Interest Expense, Net Pretax Income (Loss),Pretax Income (Loss),Income Tax (Expense) Benefit,Net Income
1152,IQV,744724,USD,2023,FY,2023-12-31,2024-02-15,2024-02-15,183800000.0,186300000.0,14984000000.0,-9745000000.0,5239000000.0,-3178000000.0,-2053000000.0,-1125000000.0,1549000000.0,-90000000.0,-101000000.0,1358000000.0,1358000000.0
1589,IRM,378171,USD,2019,FY,2019-12-31,2020-02-13,2022-02-24,286971000.0,287687000.0,4262584000.0,-1833315000.0,2429269000.0,-1649865000.0,-991664000.0,-658201000.0,326208000.0,1934000.0,-59931000.0,268211000.0,267377000.0
1590,IRM,378171,USD,2020,FY,2020-12-31,2021-02-24,2023-02-23,288183000.0,288643000.0,4147270000.0,-1757342000.0,2389928000.0,-1601284000.0,-949215000.0,-652069000.0,226564000.0,146141000.0,-29609000.0,343096000.0,342693000.0
1591,IRM,378171,USD,2021,FY,2021-12-31,2022-02-24,2024-02-22,289457000.0,290975000.0,4491531000.0,-1887229000.0,2604302000.0,-1702981000.0,-1022559000.0,-680422000.0,676164000.0,-47149000.0,-176290000.0,452725000.0,450219000.0
1592,IRM,378171,USD,2022,FY,2022-12-31,2023-02-23,2024-02-22,290812000.0,292444000.0,5103574000.0,-2189120000.0,2914454000.0,-1868172000.0,-1140577000.0,-727595000.0,628049000.0,3589000.0,-69489000.0,562149000.0,556981000.0
1593,IRM,378171,USD,2023,FY,2023-12-31,2024-02-22,2024-02-22,291936000.0,293965000.0,5480289000.0,-2357800000.0,3122489000.0,-2012446000.0,-1236287000.0,-776159000.0,415471000.0,-188265000.0,-39943000.0,187263000.0,184234000.0
1804,ISRG,103498,USD,2019,FY,2019-12-31,2020-02-07,2022-02-03,346200000.0,358500000.0,4478500000.0,-1368300000.0,3110200000.0,-1735700000.0,-1178400000.0,,1502200000.0,,-120400000.0,1381800000.0,1379300000.0
1805,ISRG,103498,USD,2020,FY,2020-12-31,2021-02-10,2023-02-10,351000000.0,360900000.0,4358400000.0,-1497200000.0,2861200000.0,-1811400000.0,-1216300000.0,,1207000000.0,,-140200000.0,1066800000.0,1060600000.0
1806,ISRG,103498,USD,2021,FY,2021-12-31,2022-02-03,2024-01-31,356799999.0,366800000.0,5710100000.0,-1751600000.0,3958500000.0,-2137500000.0,-1466500000.0,,1890300000.0,,-162200000.0,1728100000.0,1704600000.0
1807,ISRG,103498,USD,2022,FY,2022-12-31,2023-02-10,2024-01-31,356799999.0,366800000.0,6222200000.0,-2026200000.0,4196000000.0,-2618900000.0,-1739900000.0,,1606800000.0,,-262400000.0,1344400000.0,1322300000.0
1808,ISRG,103498,USD,2023,FY,2023-12-31,2024-01-31,2024-01-31,351200000.0,357400000.0,7124100000.0,-2394600000.0,4729500000.0,-2962700000.0,-1963900000.0,,1958900000.0,,-141600000.0,1817300000.0,1798000000.0
1011,IT,447532,USD,2019,FY,2019-12-31,2020-02-19,2022-02-23,89817000.0,90971000.0,4245321000.0,-1550568000.0,2694753000.0,-2315203000.0,-2103424000.0,-211779000.0,287277000.0,-9463000.0,-42449000.0,235365000.0,233290000.0
1012,IT,447532,USD,2020,FY,2020-12-31,2021-02-24,2023-02-16,89315000.0,90017000.0,4099403000.0,-1345024000.0,2754379000.0,-2257947000.0,-2038963000.0,-218984000.0,377229000.0,-51096000.0,-59388000.0,266745000.0,266745000.0
1013,IT,447532,USD,2021,FY,2021-12-31,2022-02-23,2024-02-15,83566000.0,84766000.0,4733962000.0,-1444093000.0,3289869000.0,-2368063000.0,-2155658000.0,-212405000.0,823615000.0,146255000.0,-176310000.0,793560000.0,793560000.0
1014,IT,447532,USD,2022,FY,2022-12-31,2023-02-16,2024-02-15,80178000.0,81067000.0,5475846000.0,-1693771000.0,3782075000.0,-2672890000.0,-2480944000.0,-191946000.0,1036274000.0,-9079000.0,-219396000.0,807799000.0,807799000.0
1015,IT,447532,USD,2023,FY,2023-12-31,2024-02-15,2024-02-15,79004000.0,79680000.0,5906956000.0,-1903240000.0,4003716000.0,-2892645000.0,-2701542000.0,-191103000.0,1018229000.0,128900000.0,-264663000.0,882466000.0,882466000.0
467,ITW,378165,USD,2019,FY,2019-12-31,2020-02-14,2022-02-11,323900000.0,325600000.0,14109000000.0,-8187000000.0,5922000000.0,-2361000000.0,-2361000000.0,,3447000000.0,-159000000.0,-767000000.0,2521000000.0,2521000000.0
468,ITW,378165,USD,2020,FY,2020-12-31,2021-02-12,2023-02-10,316900000.0,318300000.0,12574000000.0,-7375000000.0,5199000000.0,-2163000000.0,-2163000000.0,,2858000000.0,-154000000.0,-595000000.0,2109000000.0,2109000000.0
469,ITW,378165,USD,2021,FY,2021-12-31,2022-02-11,2024-02-09,314600000.0,314600000.0,14455000000.0,-8489000000.0,5966000000.0,-2356000000.0,-2356000000.0,,3459000000.0,-133000000.0,-632000000.0,2694000000.0,2694000000.0
470,ITW,378165,USD,2022,FY,2022-12-31,2023-02-10,2024-02-09,314600000.0,314600000.0,15932000000.0,-9429000000.0,6503000000.0,-2579000000.0,-2579000000.0,,3976000000.0,-134000000.0,-808000000.0,3034000000.0,3034000000.0
471,ITW,378165,USD,2023,FY,2023-12-31,2024-02-09,2024-02-09,302600000.0,303600000.0,16107000000.0,-9316000000.0,6791000000.0,-2638000000.0,-2638000000.0,,3936000000.0,-113000000.0,-866000000.0,2957000000.0,2957000000.0
1436,IVZ,378170,USD,2019,FY,2019-12-31,2020-03-02,2022-02-18,437800000.0,440500000.0,6117400000.0,-3602300000.0,2515100000.0,-1086600000.0,-539800000.0,-52700000.0,1527500000.0,-554600000.0,-235100000.0,737800000.0,564700000.0
1437,IVZ,378170,USD,2020,FY,2020-12-31,2021-02-19,2023-02-23,459500000.0,462500000.0,6145600000.0,-3755500000.0,2390100000.0,-1138900000.0,-564100000.0,-62500000.0,1355000000.0,-285900000.0,-261600000.0,807500000.0,524800000.0
1438,IVZ,378170,USD,2021,FY,2021-12-31,2022-02-18,2024-02-21,463300000.0,465600000.0,6894500000.0,-4060600000.0,2833900000.0,-1048700000.0,-522700000.0,,2377000000.0,123500000.0,-531100000.0,1969400000.0,1393000000.0
1439,IVZ,378170,USD,2022,FY,2022-12-31,2023-02-23,2024-02-21,462800000.0,465400000.0,6048900000.0,-3611300000.0,2437600000.0,-1034900000.0,-495100000.0,,1472200000.0,-224500000.0,-322200000.0,925500000.0,683900000.0
1440,IVZ,378170,USD,2023,FY,2023-12-31,2024-02-21,2024-02-21,454800000.0,456200000.0,5716400000.0,-3711000000.0,2005400000.0,-1099800000.0,-553800000.0,,1004500000.0,-1242400000.0,69700000.0,-168200000.0,-333700000.0
502,J,378172,USD,2019,FY,2019-09-30,2019-11-25,2021-11-23,165074679.0,166629582.0,12737868000.0,-10260840000.0,2477028000.0,-2072177000.0,-2072177000.0,,350959000.0,,-36954000.0,314005000.0,847979000.0
503,J,378172,USD,2020,FY,2020-09-30,2020-11-24,2022-11-21,157422258.0,158867037.0,13566975000.0,-10980307000.0,2586668000.0,-2050695000.0,-2050695000.0,,441203000.0,,-55320000.0,385883000.0,491845000.0
504,J,378172,USD,2021,FY,2021-09-30,2021-11-23,2023-11-21,156070845.0,157309740.0,14092632000.0,-11048860000.0,3043772000.0,-2355683000.0,-2355683000.0,,695602000.0,,-274781000.0,420821000.0,477030000.0
505,J,378172,USD,2022,FY,2022-09-30,2022-11-21,2024-11-25,155842218.0,155937978.0,9783074000.0,-7203115000.0,2579959000.0,-2040075000.0,-2040075000.0,,477497000.0,,-66328000.0,411169000.0,644039000.0
506,J,378172,USD,2023,FY,2023-09-30,2023-11-21,2024-11-25,126607000.0,127214000.0,10851420000.0,-8140560000.0,2710860000.0,-2034376000.0,-2034376000.0,,520975000.0,,-101336000.0,419639000.0,665777000.0
462,JBHT,378173,USD,2019,FY,2019-12-31,2020-03-02,2022-02-25,107329000.0,108307000.0,9165258000.0,-7159858000.0,2005400000.0,-1271575000.0,-525046000.0,-499145000.0,680895000.0,,-164575000.0,516320000.0,516320000.0
463,JBHT,378173,USD,2020,FY,2020-12-31,2021-02-23,2023-02-24,105700000.0,106766000.0,9636573000.0,-7659322000.0,1977251000.0,-1264132000.0,-514433000.0,-527375000.0,666025000.0,,-159990000.0,506035000.0,506035000.0
464,JBHT,378173,USD,2021,FY,2021-12-31,2022-02-25,2024-02-23,105094000.0,106312000.0,12168302000.0,-9741390000.0,2426912000.0,-1381382000.0,-564910000.0,-557093000.0,999772000.0,,-238966000.0,760806000.0,760806000.0
465,JBHT,378173,USD,2022,FY,2022-12-31,2023-02-24,2024-02-23,104141000.0,105276000.0,14813999000.0,-11696952000.0,3117047000.0,-1785494000.0,-717914000.0,-644520000.0,1281373000.0,,-312022000.0,969351000.0,969351000.0
466,JBHT,378173,USD,2023,FY,2023-12-31,2024-02-23,2024-02-23,103440000.0,104451000.0,12829665000.0,-9881572000.0,2948093000.0,-1954897000.0,-783918000.0,-737954000.0,934887000.0,,-206600000.0,728287000.0,728287000.0
1354,JBL,79450,USD,2019,FY,2019-08-31,2019-10-22,2021-10-22,155613000.0,158647000.0,25282000000.0,-23369000000.0,1913000000.0,-1186000000.0,-1111000000.0,-32000000.0,507000000.0,-56000000.0,-162000000.0,289000000.0,287000000.0
1355,JBL,79450,USD,2020,FY,2020-08-31,2020-10-22,2022-10-25,151613000.0,155274000.0,27266000000.0,-25335000000.0,1931000000.0,-1274000000.0,-1175000000.0,-56000000.0,467000000.0,-206000000.0,-204000000.0,57000000.0,54000000.0
1356,JBL,79450,USD,2021,FY,2021-08-31,2021-10-22,2023-10-20,143500000.0,146400000.0,29285000000.0,-26926000000.0,2359000000.0,-1294000000.0,-1213000000.0,-47000000.0,952000000.0,-8000000.0,-246000000.0,698000000.0,696000000.0
1357,JBL,79450,USD,2022,FY,2022-08-31,2022-10-25,2024-10-28,141200000.0,144400000.0,33478000000.0,-30846000000.0,2632000000.0,-1221000000.0,-1154000000.0,-34000000.0,1253000000.0,-22000000.0,-235000000.0,996000000.0,996000000.0
1358,JBL,79450,USD,2023,FY,2023-08-31,2023-10-20,2024-10-28,131200000.0,134100000.0,34702000000.0,-31835000000.0,2867000000.0,-1273000000.0,-1206000000.0,-33000000.0,1319000000.0,-57000000.0,-444000000.0,818000000.0,818000000.0
512,JCI,360440,USD,2019,FY,2019-09-30,2019-11-21,2021-11-15,870200000.0,874300000.0,23968000000.0,-16275000000.0,7693000000.0,-6244000000.0,-6244000000.0,,1291000000.0,-235000000.0,233000000.0,1289000000.0,5674000000.0
513,JCI,360440,USD,2020,FY,2020-09-30,2020-11-16,2022-11-15,751000000.0,753600000.0,22317000000.0,-14906000000.0,7411000000.0,-5665000000.0,-5665000000.0,,1686000000.0,-783000000.0,-108000000.0,795000000.0,631000000.0
514,JCI,360440,USD,2021,FY,2021-09-30,2021-11-15,2023-12-14,716600000.0,721100000.0,23668000000.0,-15609000000.0,8059000000.0,-5258000000.0,-5258000000.0,,2856000000.0,-242000000.0,-868000000.0,1746000000.0,1637000000.0
515,JCI,360440,USD,2022,FY,2022-09-30,2022-11-15,2024-11-19,708700000.0,721100000.0,20637000000.0,-13547000000.0,7090000000.0,-5078000000.0,-5078000000.0,,1813000000.0,-701000000.0,182000000.0,1294000000.0,1532000000.0
516,JCI,360440,USD,2023,FY,2023-09-30,2023-12-14,2024-11-19,687400000.0,687400000.0,22331000000.0,-14527000000.0,7804000000.0,-5387000000.0,-5387000000.0,,2162000000.0,-1049000000.0,468000000.0,1581000000.0,1849000000.0
991,JKHY,447566,USD,2019,FY,2019-06-30,2019-08-26,2021-08-25,77160000.0,77347000.0,1552691000.0,-923030000.0,629661000.0,-282376000.0,-185998000.0,,347235000.0,,-75350000.0,271885000.0,271885000.0
992,JKHY,447566,USD,2020,FY,2020-06-30,2020-08-25,2022-08-25,76787000.0,76934000.0,1697067000.0,-1008464000.0,688603000.0,-307976000.0,-197988000.0,,381076000.0,,-84408000.0,296668000.0,296668000.0
993,JKHY,447566,USD,2021,FY,2021-06-30,2021-08-25,2023-08-24,76022000.0,76141000.0,1758225000.0,-1063399000.0,694826000.0,-296107000.0,-187060000.0,,397725000.0,,-86256000.0,311469000.0,311469000.0
994,JKHY,447566,USD,2022,FY,2022-06-30,2022-08-25,2024-08-26,73324000.0,73486000.0,1942884000.0,-1128614000.0,814270000.0,-339651000.0,-218296000.0,,472267000.0,,-109351000.0,362916000.0,362916000.0
995,JKHY,447566,USD,2023,FY,2023-06-30,2023-08-24,2024-08-26,72918000.0,73096000.0,2077702000.0,-1219062000.0,858640000.0,-377952000.0,-235274000.0,,474574000.0,,-107928000.0,366646000.0,366646000.0
507,JNJ,89661,USD,2019,FY,2019-12-31,2020-01-18,2022-02-17,2645100000.0,2684300000.0,82059000000.0,-27556000000.0,54503000000.0,-33533000000.0,-22178000000.0,,18484000000.0,-1156000000.0,-2209000000.0,15119000000.0,15119000000.0
508,JNJ,89661,USD,2020,FY,2020-12-31,2021-02-22,2023-02-16,2632800000.0,2670700000.0,82584000000.0,-28427000000.0,54157000000.0,-34243000000.0,-22084000000.0,,16925000000.0,-428000000.0,-1783000000.0,14714000000.0,14714000000.0
509,JNJ,89661,USD,2021,FY,2021-12-31,2022-02-17,2024-02-16,2632596969.0,2670200000.0,78740000000.0,-23402000000.0,55338000000.0,-34395000000.0,-20118000000.0,,20287000000.0,-1109000000.0,-1377000000.0,17801000000.0,20878000000.0
510,JNJ,89661,USD,2022,FY,2022-12-31,2023-02-16,2024-02-16,2625200000.0,2663900000.0,79990000000.0,-24596000000.0,55394000000.0,-34381000000.0,-20246000000.0,,20417000000.0,-1058000000.0,-2989000000.0,16370000000.0,17941000000.0
511,JNJ,89661,USD,2023,FY,2023-12-31,2024-02-16,2024-02-16,2533500000.0,2560400000.0,85159000000.0,-26553000000.0,58606000000.0,-36597000000.0,-21512000000.0,,15864000000.0,-802000000.0,-1736000000.0,13326000000.0,35153000000.0
1749,JNPR,385619,USD,2019,FY,2019-12-31,2020-02-20,2022-02-11,343200000.0,348200000.0,4445400000.0,-1828600000.0,2616800000.0,-2139300000.0,-1183600000.0,,465000000.0,-50600000.0,-69400000.0,345000000.0,345000000.0
1750,JNPR,385619,USD,2020,FY,2020-12-31,2021-02-12,2023-02-10,330400000.0,335200000.0,4445100000.0,-1871400000.0,2573700000.0,-2152600000.0,-1194200000.0,,388200000.0,-123000000.0,-7400000.0,257800000.0,257800000.0
1751,JNPR,385619,USD,2021,FY,2021-12-31,2022-02-11,2024-02-07,324000000.0,331100000.0,4735400000.0,-1995300000.0,2740100000.0,-2309700000.0,-1302500000.0,,400900000.0,-90800000.0,-57400000.0,252700000.0,252700000.0
1752,JNPR,385619,USD,2022,FY,2022-12-31,2023-02-10,2024-02-07,324000000.0,331100000.0,5301200000.0,-2342900000.0,2958300000.0,-2419000000.0,-1382900000.0,,490300000.0,46000000.0,-60500000.0,471000000.0,471000000.0
1753,JNPR,385619,USD,2023,FY,2023-12-31,2024-02-07,2024-02-07,320000000.0,325900000.0,5564500000.0,-2362600000.0,3201900000.0,-2633800000.0,-1489400000.0,,544300000.0,-195300000.0,-29200000.0,310200000.0,310200000.0
532,K,97995,USD,2019,FY,2019-12-31,2020-02-24,2022-02-22,364230000.0,366360000.0,13578000000.0,-9197000000.0,4381000000.0,-2980000000.0,-2980000000.0,,1298000000.0,,-321000000.0,977000000.0,960000000.0
533,K,97995,USD,2020,FY,2020-12-31,2021-02-22,2023-02-21,364230000.0,366360000.0,13770000000.0,-9043000000.0,4727000000.0,-2966000000.0,-2966000000.0,,1587000000.0,,-323000000.0,1264000000.0,1251000000.0
534,K,97995,USD,2021,FY,2021-12-31,2022-02-22,2024-02-20,363165000.0,365295000.0,11747000000.0,-7929000000.0,3818000000.0,-2435000000.0,-2435000000.0,,1455000000.0,,-353000000.0,1102000000.0,1487000000.0
535,K,97995,USD,2022,FY,2022-12-31,2023-02-21,2024-02-20,363467890.0,365986143.0,12653000000.0,-8842000000.0,3811000000.0,-2600000000.0,-2600000000.0,,911000000.0,,-180000000.0,731000000.0,960000000.0
536,K,97995,USD,2023,FY,2023-12-31,2024-02-20,2024-02-20,347823750.0,350356250.0,13122000000.0,-8839000000.0,4283000000.0,-2778000000.0,-2778000000.0,,1046000000.0,,-258000000.0,788000000.0,951000000.0
1384,KDP,378130,USD,2019,FY,2019-12-31,2020-02-27,2022-02-24,1406700000.0,1419100000.0,11120000000.0,-4778000000.0,6342000000.0,-3964000000.0,-3962000000.0,,1705000000.0,-11000000.0,-440000000.0,1254000000.0,1254000000.0
1385,KDP,378130,USD,2020,FY,2020-12-31,2021-02-25,2023-02-23,1407200000.0,1422100000.0,11618000000.0,-5132000000.0,6486000000.0,-3939000000.0,-3978000000.0,,1926000000.0,-173000000.0,-428000000.0,1325000000.0,1325000000.0
1386,KDP,378130,USD,2021,FY,2021-12-31,2022-02-24,2024-02-22,1417600000.0,1428500000.0,12683000000.0,-5706000000.0,6977000000.0,-4083000000.0,-4153000000.0,,2396000000.0,402000000.0,-653000000.0,2145000000.0,2146000000.0
1387,KDP,378130,USD,2022,FY,2022-12-31,2023-02-23,2024-02-22,1416800000.0,1428500000.0,14057000000.0,-6734000000.0,7323000000.0,-4540000000.0,-4645000000.0,,2076000000.0,-357000000.0,-284000000.0,1435000000.0,1436000000.0
1388,KDP,378130,USD,2023,FY,2023-12-31,2024-02-22,2024-02-22,1399300000.0,1408400000.0,14814000000.0,-6734000000.0,8080000000.0,-4886000000.0,-4912000000.0,,2759000000.0,-2000000.0,-576000000.0,2181000000.0,2181000000.0
1166,KEYS,186556,USD,2019,FY,2019-10-31,2019-12-18,2021-12-17,188000000.0,191000000.0,4303000000.0,-1769000000.0,2534000000.0,-1823000000.0,-1155000000.0,,715000000.0,,-94000000.0,621000000.0,621000000.0
1167,KEYS,186556,USD,2020,FY,2020-10-31,2020-12-17,2022-12-15,187000000.0,189000000.0,4221000000.0,-1688000000.0,2533000000.0,-1768000000.0,-1097000000.0,,761000000.0,,-134000000.0,627000000.0,627000000.0
1168,KEYS,186556,USD,2021,FY,2021-10-31,2021-12-17,2023-12-15,185000000.0,187000000.0,4941000000.0,-1872000000.0,3069000000.0,-1989000000.0,-1195000000.0,,1010000000.0,,-116000000.0,894000000.0,894000000.0
1169,KEYS,186556,USD,2022,FY,2022-10-31,2022-12-15,2024-12-17,185000000.0,187000000.0,5420000000.0,-1970000000.0,3450000000.0,-2116000000.0,-1283000000.0,,1285000000.0,,-161000000.0,1124000000.0,1124000000.0
1170,KEYS,186556,USD,2023,FY,2023-10-31,2023-12-15,2024-12-17,178000000.0,179000000.0,5464000000.0,-1932000000.0,3532000000.0,-2174000000.0,-1307000000.0,,1357000000.0,,-300000000.0,1057000000.0,1057000000.0
422,KHC,693432,USD,2019,FY,2019-12-31,2020-02-14,2022-02-17,1221000000.0,1224000000.0,24977000000.0,-16830000000.0,8147000000.0,-3178000000.0,-3178000000.0,,4560000000.0,-1899000000.0,-728000000.0,1933000000.0,1935000000.0
423,KHC,693432,USD,2020,FY,2020-12-31,2021-02-17,2023-02-16,1223000000.0,1228000000.0,26185000000.0,-17008000000.0,9177000000.0,-3650000000.0,-3650000000.0,,4429000000.0,-3399000000.0,-669000000.0,361000000.0,356000000.0
424,KHC,693432,USD,2021,FY,2021-12-31,2022-02-17,2024-02-15,1225000000.0,1236000000.0,26042000000.0,-17360000000.0,8682000000.0,-3588000000.0,-3588000000.0,,3342000000.0,-1634000000.0,-684000000.0,1024000000.0,1012000000.0
425,KHC,693432,USD,2022,FY,2022-12-31,2023-02-16,2024-02-15,1224000000.0,1236000000.0,26485000000.0,-18363000000.0,8122000000.0,-3575000000.0,-3575000000.0,,3879000000.0,-913000000.0,-598000000.0,2368000000.0,2363000000.0
426,KHC,693432,USD,2023,FY,2023-12-31,2024-02-15,2024-02-15,1227000000.0,1235000000.0,26640000000.0,-17714000000.0,8926000000.0,-3692000000.0,-3692000000.0,,4295000000.0,-662000000.0,-787000000.0,2846000000.0,2855000000.0
1260,KIM,378175,USD,2019,FY,2019-12-31,2020-02-25,2022-03-01,420370000.0,421799000.0,1158884000.0,-171981000.0,986903000.0,-539791000.0,-96942000.0,-277879000.0,378940000.0,31304000.0,3317000.0,413561000.0,339988000.0
1261,KIM,378175,USD,2020,FY,2020-12-31,2021-02-23,2023-02-24,429950000.0,431633000.0,1057893000.0,-157661000.0,900232000.0,-567480000.0,-93217000.0,-288955000.0,225948000.0,777907000.0,-978000.0,1002877000.0,975417000.0
1262,KIM,378175,USD,2021,FY,2021-12-31,2022-03-01,2024-02-26,546842000.0,548766000.0,1364585000.0,-181256000.0,1183329000.0,-736096000.0,-104121000.0,-395320000.0,370860000.0,482216000.0,-3380000.0,849696000.0,818643000.0
1263,KIM,378175,USD,2022,FY,2022-12-31,2023-02-24,2024-02-26,615528000.0,617858000.0,1727684000.0,-224729000.0,1502955000.0,-930712000.0,-119534000.0,-505000000.0,501133000.0,-329945000.0,-56654000.0,114534000.0,100758000.0
1264,KIM,378175,USD,2023,FY,2023-12-31,2024-02-26,2024-02-26,616947000.0,618199000.0,1783400000.0,-231578000.0,1551822000.0,-969212000.0,-136807000.0,-507265000.0,649472000.0,77429000.0,-60952000.0,665949000.0,629252000.0
517,KLAC,132518,USD,2019,FY,2019-06-30,2019-08-16,2021-08-06,156053000.0,156949000.0,4568904000.0,-1869377000.0,2699527000.0,-1310154000.0,-599124000.0,,1296231000.0,,-121214000.0,1175017000.0,1175617000.0
518,KLAC,132518,USD,2020,FY,2020-06-30,2020-08-07,2022-08-05,156797000.0,158005000.0,5806424000.0,-2449561000.0,3356863000.0,-1598013000.0,-734149000.0,,1595898000.0,-279187000.0,-101686000.0,1215025000.0,1216785000.0
519,KLAC,132518,USD,2021,FY,2021-06-30,2021-08-06,2023-08-04,154457000.0,155789000.0,6918734000.0,-2772165000.0,4146569000.0,-1658089000.0,-729602000.0,,2360454000.0,,-283101000.0,2077353000.0,2078292000.0
520,KLAC,132518,USD,2022,FY,2022-06-30,2022-08-05,2024-08-05,150494000.0,151555000.0,9211883000.0,-3592441000.0,5619442000.0,-1965261000.0,-860007000.0,,3489237000.0,,-167177000.0,3322060000.0,3321807000.0
521,KLAC,132518,USD,2023,FY,2023-06-30,2023-08-04,2024-08-05,139483000.0,140235000.0,10496056000.0,-4218307000.0,6277749000.0,-2283053000.0,-986326000.0,,3802476000.0,-13286000.0,-401839000.0,3387351000.0,3387277000.0
537,KMB,384594,USD,2019,FY,2019-12-31,2020-02-13,2022-02-10,343600000.0,345600000.0,18450000000.0,-12415000000.0,6035000000.0,-3254000000.0,-3254000000.0,,2650000000.0,,-576000000.0,2197000000.0,2157000000.0
538,KMB,384594,USD,2020,FY,2020-12-31,2021-02-11,2023-02-09,340700000.0,342500000.0,19140000000.0,-12318000000.0,6822000000.0,-3632000000.0,-3632000000.0,,2930000000.0,,-676000000.0,2396000000.0,2352000000.0
539,KMB,384594,USD,2021,FY,2021-12-31,2022-02-10,2024-02-08,336800000.0,338200000.0,19440000000.0,-13452000000.0,5988000000.0,-3399000000.0,-3399000000.0,,2225000000.0,,-479000000.0,1844000000.0,1814000000.0
540,KMB,384594,USD,2022,FY,2022-12-31,2023-02-09,2024-02-08,340869565.0,342500000.0,20175000000.0,-13956000000.0,6219000000.0,-3581000000.0,-3581000000.0,,2340000000.0,,-495000000.0,1961000000.0,1934000000.0
541,KMB,384594,USD,2023,FY,2023-12-31,2024-02-08,2024-02-08,337800000.0,338800000.0,20431000000.0,-13399000000.0,7032000000.0,-3961000000.0,-3961000000.0,,2679000000.0,-658000000.0,-453000000.0,1764000000.0,1764000000.0
522,KMI,88392,USD,2019,FY,2019-12-31,2020-02-12,2022-02-07,2264000000.0,2264000000.0,13209000000.0,-3263000000.0,9946000000.0,-6018000000.0,-3181000000.0,-2411000000.0,2306000000.0,859000000.0,-926000000.0,2239000000.0,2190000000.0
523,KMI,88392,USD,2020,FY,2020-12-31,2021-02-05,2023-02-08,2263000000.0,2263000000.0,11700000000.0,-2545000000.0,9155000000.0,-5663000000.0,-3123000000.0,-2164000000.0,2733000000.0,-2072000000.0,-481000000.0,180000000.0,119000000.0
524,KMI,88392,USD,2021,FY,2021-12-31,2022-02-07,2024-02-20,2267000000.0,2267000000.0,16610000000.0,-6493000000.0,10117000000.0,-5584000000.0,-655000000.0,-2135000000.0,3921000000.0,-1702000000.0,-369000000.0,1850000000.0,1784000000.0
525,KMI,88392,USD,2022,FY,2022-12-31,2023-02-08,2024-02-20,2258000000.0,2258000000.0,19200000000.0,-9255000000.0,9945000000.0,-5919000000.0,-637000000.0,-2186000000.0,3378000000.0,-43000000.0,-710000000.0,2625000000.0,2548000000.0
526,KMI,88392,USD,2023,FY,2023-12-31,2024-02-20,2024-02-20,2234000000.0,2234000000.0,15334000000.0,-4938000000.0,10396000000.0,-6146000000.0,-668000000.0,-2250000000.0,3252000000.0,-51000000.0,-715000000.0,2486000000.0,2391000000.0
1614,KMX,327637,USD,2018,FY,2019-02-28,2019-04-19,2021-04-20,174463000.0,175884000.0,18173100000.0,-15692509000.0,2480591000.0,-1730275000.0,-1730275000.0,,1112806000.0,,-270393000.0,842413000.0,842413000.0
1615,KMX,327637,USD,2019,FY,2020-02-29,2020-04-21,2021-04-20,164836000.0,166820000.0,20319987000.0,-17597647000.0,2722340000.0,-1940067000.0,-1940067000.0,,1160986000.0,,-272553000.0,888433000.0,888433000.0
1616,KMX,327637,USD,2020,FY,2021-02-28,2021-04-20,2022-04-14,163183000.0,165133000.0,18950149000.0,-16571024000.0,2379125000.0,-1898775000.0,-1704419000.0,-194356000.0,965257000.0,,-218338000.0,746919000.0,746919000.0
1617,KMX,327637,USD,2021,FY,2022-02-28,2022-04-14,2024-04-15,163183000.0,165133000.0,31900412000.0,-28612870000.0,3287542000.0,-2537176000.0,-2325220000.0,-211956000.0,1492346000.0,,-341049000.0,1151297000.0,1151297000.0
1618,KMX,327637,USD,2022,FY,2023-02-28,2023-04-13,2024-04-15,158800000.0,159771000.0,29684873000.0,-26884670000.0,2800203000.0,-2715806000.0,-2487357000.0,-228449000.0,636804000.0,,-152042000.0,484762000.0,484762000.0
185,KO,82117,USD,2019,FY,2019-12-31,2020-02-24,2022-02-22,4276000000.0,4314000000.0,37266000000.0,-14619000000.0,22647000000.0,-12561000000.0,-12103000000.0,,10786000000.0,,-1801000000.0,8985000000.0,8920000000.0
186,KO,82117,USD,2020,FY,2020-12-31,2021-02-25,2023-02-21,4295000000.0,4323000000.0,33014000000.0,-13433000000.0,19581000000.0,-10584000000.0,-9731000000.0,,9749000000.0,,-1981000000.0,7768000000.0,7747000000.0
187,KO,82117,USD,2021,FY,2021-12-31,2022-02-22,2024-02-20,4318000000.0,4344000000.0,38655000000.0,-15357000000.0,23298000000.0,-12990000000.0,-12144000000.0,,12425000000.0,,-2621000000.0,9804000000.0,9771000000.0
188,KO,82117,USD,2022,FY,2022-12-31,2023-02-21,2024-02-20,4328000000.0,4350000000.0,43004000000.0,-18000000000.0,25004000000.0,-14095000000.0,-12880000000.0,,11686000000.0,,-2115000000.0,9571000000.0,9542000000.0
189,KO,82117,USD,2023,FY,2023-12-31,2024-02-20,2024-02-20,4323000000.0,4339000000.0,45754000000.0,-18520000000.0,27234000000.0,-15923000000.0,-13972000000.0,,12952000000.0,,-2249000000.0,10703000000.0,10714000000.0
